lat,long,NM_MICRO,total,CD_GEOCMI,Fx18,Fx60,Fx70,pp_18,pp_60,pp_70
-51.0122311522452,-21.6486375055187,ADAMANTINA,159414.511688671,35035,37192.1270656353,26141.9346418978,12817.0481817045,0.233304525865687,0.163987170082432,0.0804007617997514
-41.008725135712,-20.2447758174149,AFONSO CLÁUDIO,132917.161302743,32007,38005.3874521146,16041.9889512983,7535.80986399214,0.285932885412369,0.120691630742548,0.0566955372062751
-44.166656581146,-2.52060224841748,AGLOMERAÇÃO URBANA DE SÃO LUÍS,1338932.53500645,21002,419309.04869127,101489.938522472,44382.3705240602,0.313166673994705,0.0757991428761437,0.0331475779127633
-37.3996420189498,-10.6818139183813,AGRESTE DE ITABAIANA,162163.511863576,28004,55293.855674237,16616.0964347569,7813.00142556703,0.340975938660938,0.10246507518125,0.0481797744497536
-37.7190321001621,-10.8884386481534,AGRESTE DE LAGARTO,115628.134678867,28006,40031.5281423698,12459.3937833538,5849.70869713074,0.346209235784605,0.107753997917178,0.0505907036672095
-35.5059470517114,-6.17758198209137,AGRESTE POTIGUAR,232589.748018067,24015,82865.1018478896,28869.9129998636,14647.0035352794,0.356271514776537,0.124123755435777,0.0629735560577745
-41.5768083043184,-19.5787026253133,AIMORÉS,149510.937259853,31041,43625.9655911109,22997.9551540815,11321.1788673907,0.29179113174368,0.153821222551168,0.0757214092485704
-37.8319983245202,-9.36319676579448,ALAGOANA DO SERTÃO DO SÃO FRANCISCO,80773.0822862257,27002,31591.5823857865,7401.09891918231,3069.79466453052,0.391115226652355,0.0916282839492981,0.0380051692673119
-38.2558981257841,-11.911021937323,ALAGOINHAS,311667.336920139,29017,105625.768141438,33669.9372599666,15684.5452349724,0.338905479108654,0.108031651929551,0.0503246358439907
-41.5843681148725,-20.6745968450447,ALEGRE,158928.052284137,32011,49305.6162390773,18968.8614128966,9025.44655424908,0.310238598727221,0.119355023485617,0.0567895121379394
-46.0371920733001,-21.4064455419862,ALFENAS,227284.794017163,31049,63542.5522793825,30664.0795940053,14110.5999206355,0.279572386503711,0.134914787091695,0.0620833434179057
-53.4681273871129,-0.318583689633219,ALMEIRIM,68792.2607516506,15003,33153.978408303,3589.22518065382,1540.95212598809,0.481943434421981,0.0521748397484917,0.022400079735003
-40.8567597975749,-16.4649430866283,ALMENARA,180435.794961675,31014,59582.8888116831,26138.7889907892,13089.6155265665,0.330216567196873,0.144864764756579,0.0725444501150495
-57.2395152105224,-9.82317495163076,ALTA FLORESTA,100215.42353733,51002,33069.0488708317,8781.1117984163,3624.29056693568,0.329979634906333,0.0876223587993454,0.0361649977519242
-53.3073511731439,-5.58091625259977,ALTAMIRA,279739.51234066,15015,113432.922382601,18023.0467422564,7142.58881880822,0.405494817065618,0.0644279622547865,0.0255329994645524
-53.4568976638801,-17.2125220328741,ALTO ARAGUAIA,35381.8003780784,51022,11026.1461637641,3255.6448939773,1430.85942051382,0.311633270380316,0.0920146758838878,0.0404405486782504
-35.9618399126332,-7.88283361753617,ALTO CAPIBARIBE,281540.476224351,26009,94690.0423406491,28743.3049391649,13894.860791611,0.336328344721536,0.102092975491951,0.049352977511264
-59.5449551473956,-14.5701817130352,ALTO GUAPORÉ,68733.1607194593,51012,24120.9526605986,5280.31179142766,2069.76672906705,0.350936177066706,0.0768233518749376,0.0301130736227161
-45.6300287944089,-5.94715468708361,ALTO MEARIM E GRAJAÚ,317447.002550213,21011,134500.989330926,27915.5070302039,12518.7587114961,0.423695887031258,0.0879375354183359,0.0394357439538774
-41.4580866915594,-8.07282332316932,ALTO MÉDIO CANINDÉ,264274.318289859,22015,92888.5421868603,30736.093188216,14201.137675952,0.351485315667258,0.116303745998142,0.0537363515601847
-44.999525367678,-9.18052503046636,ALTO MÉDIO GURGUÉIA,89365.6785155344,22010,34812.4177775664,8345.39389036969,3840.81594348496,0.389550198195105,0.0933847762250137,0.0429786469177573
-57.0509449003156,-16.4039261822083,ALTO PANTANAL,133082.164720842,51018,44526.9536156205,14082.1907844432,6293.00402685208,0.334582426646139,0.105815762870874,0.0472866070374833
-57.1135823665817,-14.5801387645814,ALTO PARAGUAI,32728.0452939504,51015,10535.1244726106,3771.69275775915,1668.19309778636,0.321898982294491,0.115243447137869,0.0509713636363954
-45.17594866237,-8.49390653203399,ALTO PARNAÍBA PIAUIENSE,44470.6159906953,22007,17510.3509122341,3826.37610025154,1807.71775309809,0.393751031375366,0.0860427951133427,0.0406497124635359
-54.7798655847839,-19.0145602325395,ALTO TAQUARI,118733.58744834,50003,37130.2559464276,11999.4148286164,5414.50106967958,0.312719060750882,0.101061671650722,0.0456021011917574
-55.4030989645742,-13.1142179013422,ALTO TELES PIRES,205073.347232022,51006,68085.8254942198,9993.61998376708,3568.34709615867,0.332007188711787,0.0487319299102297,0.017400345507217
-51.2037603988777,1.54255554596728,AMAPÁ,25508.2463258063,16002,12326.2528118625,1497.9368842477,612.104049753303,0.483226194949837,0.0587236325506337,0.0239963203246178
-46.679072418261,-22.6892803711153,AMPARO,180977.594748543,35033,44425.3286459188,28891.3038636249,14055.9697362936,0.245474190922058,0.159640224546953,0.077666905430053
-49.5238737066809,-16.2062162362452,ANÁPOLIS,549256.952567452,52007,162858.8240566,59133.2952529882,25711.9323867478,0.296507533123306,0.107660531153179,0.0468122110545159
-51.2400427354762,-20.9472405568234,ANDRADINA,182588.649873126,35016,45808.9551640863,27726.9696307722,12632.9036362041,0.250886104891609,0.151854836815096,0.069187781633646
