week,mean,perc_75,perc_25,Estado
5,0.0,0.0,0.0,RR
6,0.0,0.0,0.0,RR
7,0.0,0.0,0.0,RR
8,0.0,0.0,0.0,RR
9,0.0,0.0,0.0,RR
10,0.0,0.25,0.0,RR
11,0.0,0.0,0.0,RR
12,0.0,0.25,0.0,RR
13,0.0,0.0,0.0,RR
14,0.0,0.25,0.0,RR
15,0.0,0.0,0.0,RR
16,0.0,0.0,0.0,RR
17,0.0,0.25,0.0,RR
18,0.0,0.0,0.0,RR
19,0.0,0.0,0.0,RR
20,0.0,1.25,0.0,RR
21,0.0,2.25,0.0,RR
22,0.0,0.25,0.0,RR
23,0.0,0.0,0.0,RR
24,0.0,0.25,0.0,RR
25,0.0,0.25,0.0,RR
26,0.0,0.25,0.0,RR
27,0.0,1.0,0.0,RR
28,0.0,0.5,0.0,RR
29,0.0,0.25,0.0,RR
30,0.0,0.0,0.0,RR
31,0.0,0.0,0.0,RR
32,0.0,0.0,0.0,RR
33,0.0,0.0,0.0,RR
34,0.0,0.0,0.0,RR
35,0.0,0.0,0.0,RR
36,0.0,0.0,0.0,RR
37,0.0,0.0,0.0,RR
38,0.0,0.0,0.0,RR
39,0.0,0.0,0.0,RR
40,0.0,0.0,0.0,RR
41,0.0,0.0,0.0,RR
42,0.0,0.0,0.0,RR
43,0.0,0.0,0.0,RR
44,0.0,0.0,0.0,RR
45,0.0,0.0,0.0,RR
46,0.0,0.0,0.0,RR
47,0.0,0.0,0.0,RR
48,0.0,0.0,0.0,RR
49,0.0,0.0,0.0,RR
50,0.0,0.0,0.0,RR
51,0.0,0.0,0.0,RR
52,0.0,1.0,0.0,RR
53,1.0,1.0,1.0,RR
1,0.0,1.0,0.0,RN
2,0.0,1.0,0.0,RN
3,0.0,0.0,0.0,RN
4,0.0,0.0,0.0,RN
5,0.0,0.0,0.0,RN
6,0.0,0.0,0.0,RN
7,0.0,0.0,0.0,RN
8,0.0,0.0,0.0,RN
9,0.0,0.0,0.0,RN
10,0.0,0.0,0.0,RN
11,0.0,1.0,0.0,RN
12,0.0,0.0,0.0,RN
13,0.0,0.75,0.0,RN
14,0.0,0.75,0.0,RN
15,0.0,1.0,0.0,RN
16,0.0,0.0,0.0,RN
17,0.0,0.75,0.0,RN
18,0.0,1.0,0.0,RN
19,0.0,1.0,0.0,RN
20,0.0,0.75,0.0,RN
21,0.0,0.0,0.0,RN
22,0.0,0.0,0.0,RN
23,0.0,0.0,0.0,RN
24,0.0,0.0,0.0,RN
25,0.0,1.0,0.0,RN
26,0.0,0.75,0.0,RN
27,0.0,0.75,0.0,RN
28,0.0,0.0,0.0,RN
29,0.0,0.75,0.0,RN
30,0.0,0.75,0.0,RN
31,0.0,1.0,0.0,RN
32,0.0,0.0,0.0,RN
33,0.0,0.0,0.0,RN
34,0.0,0.0,0.0,RN
35,0.0,0.0,0.0,RN
36,0.0,0.0,0.0,RN
37,0.0,0.0,0.0,RN
38,0.0,0.0,0.0,RN
